sym0,sym1,sym2,sym3,sym4,sym5,sym6
R133,R23,R33,R934,R3,R44,R14
R133,R33,R33,R934,R3,R34,R14
R133,R32,R33,R934,R3,R34,R14
R33,R32,R33,R934,R113,R34,R14
R33,R32,R34,R934,R123,R34,R14
R33,R31,R34,R934,R113,R34,R14
R33,R31,R34,R934,R113,R34,R14
R33,R32,R34,R924,R113,R34,R4
R133,R32,R34,R924,R24,R34,R4
R133,R32,R34,R924,R44,R34,R4
R143,R32,R34,R924,R34,R34,R4
R152,R32,R24,R924,R33,R34,R4
R152,R32,R24,R924,R133,R34,R4
R52,R33,R24,R924,R113,R34,R4
R52,R33,R24,R924,R113,R34,R4
R52,R33,R24,R924,R113,R34,R4
R152,R33,R24,R924,R113,R34,R14
R52,R33,R24,R924,R123,R34,R14
R52,R33,R24,R924,R122,R34,R4
R52,R33,R24,R924,R123,R34,R14
R52,R33,R24,R926,R133,R34,R14
R52,R43,R24,R926,R144,R34,R14
R52,R33,R24,R934,R143,R34,R14
R52,R34,R24,R926,R133,R34,R14
R54,R34,R24,R926,R143,R34,R24
R63,R23,R24,R926,R143,R34,R24
R63,R23,R14,R924,R143,R34,R24
R62,R23,R14,R924,R133,R34,R14
R63,R23,R14,R924,R133,R34,R14
R63,R23,R14,R924,R43,R34,R14
R63,R23,R13,R924,R33,R34,R14
R63,R13,R13,R925,R33,R34,R14
R63,R23,R13,R925,R43,R34,R24
R53,R23,R13,R925,R44,R34,R24
R53,R23,R13,R925,R43,R34,R14
R153,R23,R13,R824,R133,R34,R24
R153,R23,R23,R825,R123,R34,R24
R163,R13,R12,R824,R24,R34,R24
R163,R13,R12,R824,R23,R34,R14
R63,R13,R12,R824,R34,R34,R14
R63,R13,R12,R824,R24,R34,R24
R73,R13,R12,R824,R34,R34,R24
R64,R12,R13,R824,R23,R34,R24
R64,R12,R12,R824,R23,R34,R14
R64,R22,R12,R824,R23,R34,R14
R63,R12,R13,R824,R23,R33,R24
R63,R12,R3,R824,R23,R34,R24
R63,R12,R3,R824,R23,R34,R25
R73,R12,R2,R824,R13,R134,R25
R73,R12,R2,R825,R13,R134,R15
R83,R12,R2,R824,R13,R134,R15
R83,R12,R1,R824,R13,R133,R15
R83,R12,R2,R825,R13,R133,R15
R84,R22,R1,R825,R23,R133,R25
R84,R22,R2,R824,R23,R133,R25
R84,R22,R2,R824,R33,R133,R15
R94,R21,R2,R824,R133,R133,R15
R93,R22,R2,R824,R124,R133,R14
R93,R22,R2,R824,R33,R133,R14
R93,R22,R2,R824,R123,R133,R15
R93,R22,R2,R824,R123,R133,R14
R93,R12,R2,R824,R113,R133,R14
R94,R12,R2,R824,R113,R133,R15
R93,R12,R2,R824,R123,R133,R15
R94,R12,R2,R869,R126,R142,R15
R193,R112,R102,R879,R227,R152,R114
R294,R212,R202,R888,R316,R152,R224
R483,R313,R401,R888,R405,R161,R423
R582,R403,R501,R886,R504,R161,R524
R571,R503,R601,R896,R605,R171,R637
R671,R603,R601,R796,R604,R271,R749
R671,R603,R701,R795,R705,R271,R739
R761,R703,R700,R795,R705,R271,R839
R760,R803,R800,R795,R805,R281,R839
R860,R803,R800,R795,R805,R281,R949
R860,R803,R800,R795,R813,R291,R949
R860,R803,R900,R795,R813,R291,R939
R861,R803,R901,R795,R812,R291,R939
R951,R903,R901,R795,R812,R291,R939
R951,R903,R910,R795,R802,R292,R949
R951,R903,R910,R795,R802,R293,R949
R950,R903,R910,R795,R802,R295,R937
R951,R913,R910,R795,R913,R295,R937
R941,R913,R910,R795,R913,R295,R926
R951,R913,R910,R795,R903,R295,R936
R941,R913,R910,R795,R903,R295,R946
R951,R914,R910,R795,R903,R293,R935
R951,R914,R910,R795,R903,R294,R925
R951,R904,R921,R795,R913,R294,R925
R851,R904,R911,R795,R922,R394,R925
R951,R904,R910,R794,R823,R394,R925
R952,R904,R910,R795,R823,R394,R925
R951,R904,R910,R793,R813,R394,R935
R941,R904,R910,R793,R814,R392,R923
R951,R904,R910,R784,R814,R382,R924
R951,R914,R910,R751,R903,R392,R913
R960,R914,R910,R751,R803,R373,R913
R850,R804,R800,R742,R802,R262,R813
R750,R704,R710,R742,R701,R252,R723
R661,R615,R610,R733,R602,R252,R524
R561,R415,R411,R733,R512,R243,R424
R462,R414,R411,R733,R422,R243,R324
R373,R314,R311,R725,R423,R233,R334
R373,R224,R321,R725,R323,R233,R224
R273,R224,R221,R726,R323,R233,R224
R274,R124,R222,R626,R223,R233,R125
R175,R123,R122,R626,R223,R233,R125
R165,R133,R122,R626,R243,R233,R124
R165,R133,R133,R626,R243,R233,R124
R154,R143,R133,R626,R153,R233,R125
R154,R143,R33,R626,R152,R223,R24
R44,R53,R33,R626,R152,R223,R124
R44,R44,R33,R626,R152,R223,R24
R34,R44,R33,R624,R151,R223,R24
R34,R54,R43,R624,R142,R223,R15
R24,R54,R43,R625,R53,R223,R14
R24,R55,R43,R625,R53,R323,R15
R24,R55,R43,R625,R42,R323,R15
R24,R55,R43,R625,R32,R323,R24
R24,R55,R53,R625,R42,R323,R24
R24,R55,R53,R625,R42,R323,R34
R24,R55,R53,R625,R42,R323,R34
R14,R65,R53,R625,R33,R323,R34
