active-routes-count_leaf1,backup-routes-count_leaf1,deleted-routes-count_leaf1,paths-count_leaf1,protocol-route-memory_leaf1,global__established-neighbors-count-total_leaf1,performance-statistics__global__configuration-items-processed_leaf1,performance-statistics__vrf__inbound-update-messages_leaf1,vrf__network-count_leaf1,vrf__path-count_leaf1,vrf__update-messages-received_leaf1,active-routes-count_leaf2,backup-routes-count_leaf2,deleted-routes-count_leaf2,paths-count_leaf2,protocol-route-memory_leaf2,global__established-neighbors-count-total_leaf2,performance-statistics__global__configuration-items-processed_leaf2,performance-statistics__vrf__inbound-update-messages_leaf2,vrf__network-count_leaf2,vrf__path-count_leaf2,vrf__update-messages-received_leaf2,paths-count_leaf3,protocol-route-memory_leaf3,global__established-neighbors-count-total_leaf3,performance-statistics__vrf__inbound-update-messages_leaf3,vrf__path-count_leaf3,vrf__update-messages-received_leaf3,paths-count_leaf5,protocol-route-memory_leaf5,global__established-neighbors-count-total_leaf5,performance-statistics__vrf__inbound-update-messages_leaf5,vrf__path-count_leaf5,vrf__update-messages-received_leaf5,active-routes-count_leaf6,deleted-routes-count_leaf6,paths-count_leaf6,protocol-route-memory_leaf6,routes-counts_leaf6,global__established-neighbors-count-total_leaf6,performance-statistics__global__configuration-items-processed_leaf6,performance-statistics__vrf__inbound-update-messages_leaf6,vrf__network-count_leaf6,vrf__path-count_leaf6,vrf__update-messages-received_leaf6,paths-count_leaf7,protocol-route-memory_leaf7,global__established-neighbors-count-total_leaf7,performance-statistics__vrf__inbound-update-messages_leaf7,vrf__path-count_leaf7,vrf__update-messages-received_leaf7,active-routes-count_leaf8,deleted-routes-count_leaf8,paths-count_leaf8,protocol-route-memory_leaf8,routes-counts_leaf8,global__established-neighbors-count-total_leaf8,performance-statistics__global__configuration-items-processed_leaf8,performance-statistics__vrf__inbound-update-messages_leaf8,vrf__network-count_leaf8,vrf__path-count_leaf8,vrf__update-messages-received_leaf8,active-routes-count_spine1,deleted-routes-count_spine1,paths-count_spine1,protocol-route-memory_spine1,routes-counts_spine1,global__established-neighbors-count-total_spine1,performance-statistics__global__configuration-items-processed_spine1,performance-statistics__vrf__inbound-update-messages_spine1,vrf__network-count_spine1,vrf__path-count_spine1,vrf__update-messages-received_spine1,active-routes-count_spine2,deleted-routes-count_spine2,paths-count_spine2,protocol-route-memory_spine2,routes-counts_spine2,global__established-neighbors-count-total_spine2,performance-statistics__global__configuration-items-processed_spine2,performance-statistics__vrf__inbound-update-messages_spine2,vrf__network-count_spine2,vrf__path-count_spine2,vrf__update-messages-received_spine2,active-routes-count_spine3,deleted-routes-count_spine3,paths-count_spine3,protocol-route-memory_spine3,routes-counts_spine3,global__established-neighbors-count-total_spine3,performance-statistics__global__configuration-items-processed_spine3,performance-statistics__vrf__inbound-update-messages_spine3,vrf__network-count_spine3,vrf__path-count_spine3,vrf__update-messages-received_spine3,paths-count_spine4,protocol-route-memory_spine4,global__established-neighbors-count-total_spine4,performance-statistics__vrf__inbound-update-messages_spine4,vrf__path-count_spine4,vrf__update-messages-received_spine4,anomaly
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
166.0,1.0,0.0,1018.0,135392.0,38.0,4.0,11261.0,354.0,5347.0,11261.0,163.0,1.0,0.0,961.0,128624.0,37.0,1.0,8051.0,354.0,5897.0,8051.0,983.0,131216.0,37.0,7005.0,6011.0,7005.0,996.0,132800.0,37.0,6128.0,5330.0,6128.0,165.0,0.0,996.0,132672.0,165.0,38.0,3.0,7518.0,354.0,6251.0,7518.0,983.0,131216.0,38.0,5845.0,6251.0,5845.0,165.0,0.0,973.0,130096.0,165.0,39.0,1.0,5998.0,354.0,6054.0,5998.0,153.0,0.0,932.0,123968.0,153.0,64.0,2.0,12976.0,354.0,8089.0,12976.0,153.0,0.0,932.0,123968.0,153.0,64.0,4.0,74546.0,354.0,9601.0,74546.0,153.0,0.0,932.0,123968.0,153.0,64.0,1.0,11976.0,354.0,9601.0,11976.0,904.0,120960.0,62.0,11244.0,9357.0,11244.0,0
