sym0,sym1,sym2,sym3,sym4,sym5,sym6,sym7
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R54
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R54
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R54
R11,R40,R52,R124,R23,R220,R30,R54
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R220,R30,R44
R11,R40,R52,R124,R23,R320,R31,R44
R11,R40,R52,R124,R23,R220,R31,R44
R11,R40,R52,R124,R23,R231,R31,R44
R11,R30,R42,R124,R23,R241,R31,R44
R11,R30,R32,R123,R123,R151,R31,R43
R11,R20,R22,R123,R123,R162,R31,R43
R11,R20,R22,R123,R123,R172,R31,R43
R11,R10,R12,R123,R123,R183,R31,R42
R11,R10,R12,R123,R123,R83,R21,R32
R11,R10,R2,R133,R124,R93,R21,R32
R111,R0,R2,R132,R124,R94,R21,R32
R111,R0,R2,R132,R124,R94,R21,R32
R111,R0,R2,R132,R124,R94,R21,R31
R111,R0,R2,R132,R124,R94,R21,R31
R111,R0,R2,R132,R124,R94,R22,R31
R111,R0,R2,R232,R124,R94,R22,R31
R111,R10,R2,R233,R124,R183,R22,R32
R111,R10,R12,R233,R123,R173,R22,R42
R111,R10,R22,R123,R123,R163,R22,R42
R111,R20,R22,R123,R123,R152,R22,R42
R111,R20,R22,R123,R123,R152,R22,R43
R111,R20,R32,R123,R123,R152,R122,R43
R111,R30,R32,R123,R123,R241,R123,R43
R111,R30,R32,R123,R123,R241,R123,R43
R111,R30,R42,R123,R123,R241,R123,R43
R111,R30,R42,R124,R123,R231,R123,R43
R111,R30,R42,R124,R123,R231,R133,R44
R111,R30,R42,R124,R123,R231,R133,R44
R111,R30,R42,R124,R123,R231,R133,R44
R111,R30,R42,R124,R123,R231,R133,R44
R111,R30,R42,R124,R123,R230,R133,R44
R111,R30,R42,R124,R123,R230,R133,R44
R111,R30,R42,R124,R123,R230,R133,R44
R111,R40,R52,R124,R123,R230,R133,R44
R111,R40,R52,R124,R123,R230,R133,R44
R111,R40,R52,R124,R123,R220,R133,R44
R111,R40,R52,R124,R123,R220,R133,R44
R111,R40,R52,R124,R123,R220,R133,R44
R111,R40,R52,R124,R123,R220,R133,R44
R111,R40,R52,R124,R123,R220,R133,R44
R111,R40,R52,R124,R123,R220,R133,R44
R111,R40,R52,R124,R123,R320,R133,R44
